Name;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;score;Score
NMS anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
Nieuw GBS;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Aangepast pakket;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;True;True;True;False;True;True;True;;8/9
PLOOI;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Andere ambtenaren;Geen antwoord;;
PLOOI anthropic/claude-3-5-sonnet-20240620-1;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Burgers;Geen antwoord;;
PLOOI anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;True;True;True;True;True;False;True;;8/9
PLOOI anthropic/claude-3-5-sonnet-20240620-2;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Burgers;Geen antwoord;;
PLOOI anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;True;True;True;True;True;False;True;;8/9
PLOOI anthropic/claude-3-5-sonnet-20240620-3;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Burgers;Geen antwoord;;
PLOOI anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;True;True;True;True;True;False;True;;8/9
SIO ZW Arbo;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Geen antwoord;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Geen antwoord;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Geen antwoord;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
TIV;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;True;True;True;True;False;True;True;;8/9
TIV anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;True;True;True;True;False;True;True;;8/9
TIV anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;True;True;True;True;False;True;True;;8/9
Uitrol iWKS;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Meerdere leveranciers;Geen antwoord;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Meerdere leveranciers;Geen antwoord;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Meerdere leveranciers;Geen antwoord;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;False;True;True;True;True;True;True;;8/9
Vernieuwing CIZ;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Webapplicatie;Maatwerk;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
WORKit;Vervanging;Geen antwoord;Een landschap van applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Geen antwoord;Enkele applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
WORKit anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Geen antwoord;Enkele applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
WORKit anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Geen antwoord;Enkele applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;False;True;True;True;False;True;True;;7/9
Score anthropic/claude-3-5-sonnet-20240620-1;10/10;10/10;5/10;10/10;10/10;10/10;5/10;8/10;10/10;;
Score anthropic/claude-3-5-sonnet-20240620-2;10/10;10/10;5/10;10/10;10/10;10/10;6/10;8/10;10/10;;
Score anthropic/claude-3-5-sonnet-20240620-3;10/10;10/10;5/10;10/10;10/10;9/10;5/10;8/10;10/10;;
Score Total;30/30;30/30;15/30;30/30;30/30;29/30;16/30;24/30;30/30;;234/270
